gender05,age05,education05,hisp05,race05,income05,party05,marital05,Q9_05,Q10,Q5_05,Q7_05,Q6_05,gender13,age13,educaton13,hisp13,race13,income13,Q1_13,Q2_13,Q3_13,Q4_13,Q5_13,Q6_13,Q7_13,Q8_13,gender15,age15,education15,hisp15,race15,income15,party15,marital15,Q1_15,Q2_15,Q3_15,Q4_15,Q5_15,Q6_15,Q7_15,Q8_15
FEMALE,47,5,1,1,5,2,1,1,2, , , ,FEMALE,77,8,2,1,5,2, ,1,1,1,1,2,2,FEMALE,47,6,2,1,99,3,1,2,2,2,2,2,2,2,2
FEMALE,79,4,2,1,9,9,5,1,1, , , ,FEMALE,38,6,2,1,9,2,2,1,2,2,1,2,2,FEMALE,63,4,2,2,6,2,1,2,2,2,2,2,2,2,1
FEMALE,47,7,2,1,8,3,1,2, ,1,1,1,MALE,51,4,2,4,8,2,2,1,1,1,2,2,1,FEMALE,86,1,2,1,3,1,5, , ,2,2,2,2,8,2
MALE,30,3,1,6,5,4,6,2, ,8,8,8,MALE,88,4,2,1,2, , ,2,2,9,9,8,2,FEMALE,40,5,2,1,6,1,1,2,2,1,1,2,2,2,2
FEMALE,53,3,1,1,9,2,1,1,1,1,2,1,FEMALE,62,6,2,1,99,2, ,2,2,2,2,1,2,FEMALE,65,4,2,1,3,9,9,2, ,2,1,2,2,2,2
FEMALE,22,6,1,2,6,2,6,2, ,1,2,2,FEMALE,48,5,2,1,3,2, ,2,2,2,2,1,1,FEMALE,69,6,2,1,8,3,1,2,2,2,2,2,1,2,1
MALE,36,6,2,1,5,3,6,1,1,2,1,1,MALE,77,6,2,1,7,2,2,2,2,1,1,2,1,MALE,72,6,2,1,99,3,1, , ,2,2,2,2,9,1
FEMALE,51,7,2,1,8,2,1,1,2,1,2,2,MALE,67,4,2,1,2,2, ,2,2,2,2,2,2,MALE,70,4,2,1,7,1,1, , ,2,2,1,1,2,2
MALE,58,3,2,1,4,2,3,2, , , , ,FEMALE,48,6,2,1,99,2, ,2,2,2,2,1,1,MALE,77,6,2,1,6,2,5,2,2,1,2,2,2,1,1
FEMALE,63,3,2,1,3,3,1,2, , , , ,FEMALE,59,4,2,1,5,2, ,2,2,1,2,2,1,MALE,73,3,2,1,3,3,1, , ,2,2,2,2,2,1
FEMALE,34,5,2,1,6,3,1,2, ,1,2,2,MALE,79,3,2,2,98, , ,2,2,2,2,1,2,FEMALE,81,6,2,1,99,1,5,2,2,2,1,1,1,2,8
MALE,50,7,2,2,5,2,1,2, ,1,2,1,FEMALE,65,6,2,1,4,2, ,2,2,2,2,2,2,FEMALE,77,3,2,1,99,1,1,2, ,2,1,1,1,2,2
MALE,55,5,2,1,3,2,6,2, , , , ,FEMALE,87,2,2,1,99, , ,2,2,1,1,8,8,MALE,52,4,2,1,8,3,1,2,2,1,1,1,1,2,2
FEMALE,49,7,2,1,7,3,1,1,2,8,8,1,FEMALE,28,3,2,3,99,2,2,2,2,2,2,1,1,FEMALE,74,5,2,1,6,2,1,2,2,2,2,2,2,1,2
FEMALE,41,5,2,1,8,3,1,1,1,2,2,1,FEMALE,56,4,2,2,8,2,2,1,2,2,1,2,8,FEMALE,43,6,2,1,98,3,1,2,2,1,2,1,1,2,2
FEMALE,41,3,2,1,6,2,1,2, ,2,1,2,FEMALE,83,4,2,1,2,2, ,2,2,1,2,1,2,FEMALE,44,4,2,1,7,1,1,2,2,1,2,1,2,2,2
MALE,20,5,1,1,4,2,6,1,2,1,1,2,FEMALE,50,3,2,1,7,2, ,1,1,1,1,2,2,MALE,68,8,2,1,4,3,1, ,2,2,2,1,2,2,2
FEMALE,37,2,1,1,2,2,4,1,2,2,2,2,MALE,90,6,2,1,2, , ,2,2,1,2,2,1,MALE,87,5,2,2,4,2,1,2, ,2,2,2,2,2,2
FEMALE,54,3,1,9,1,2,4,2, , , , ,FEMALE,50,5,2,1,99,2,2,2,1,2,2,8,8,FEMALE,68,8,2,1,99,2,3,2, ,2,1,2,2,1,1
FEMALE,65,5,2,1,5,3,1,2, ,2,2,2,MALE,56,3,2,1,5, , ,2,2,2,8,2,1,MALE,58,6,2,1,7,1,1,2,2,2,2,1,1,2,2
FEMALE,43,7,2,1,8,1,1,2, ,2,2,2,FEMALE,64,3,2,1,3,2,2,1,1,2,2,2,2,FEMALE,31,3,2,5,2,3,6,2, ,2,1,1,1,2,2
MALE,86,5,2,1,6,3,5,2, , , , ,FEMALE,18,3,2,1,4,1,2,2,2,2,2,2,1,MALE,85,3,2,1,6,1,1, , ,2,2,2,2,2,1
FEMALE,50,3,2,1,7,3,3,2, ,1,2,1,FEMALE,67,3,2,1,6, , ,2,2,1,1,2,2,FEMALE,93,1,2,1,1,2,5, , ,2,2,1,8,2,2
MALE,45,6,2,1,9,1,3,2, ,2,1,2,FEMALE,71,3,2,1,7, , ,2,1,9,9,8,9,MALE,57,3,2,1,6,2,1, , ,2,2,1,1,1,1
FEMALE,55,7,2,1,8,2,4,1,1,8,2,1,MALE,30,99,1,1,1, , ,2,2,1,1,1,1,MALE,70,8,2,1,9,2,1,2, ,2,2,2,2,1,2
MALE,49,3,2,1,8,1,3,2, ,8,1,8,FEMALE,99,8,2,1,8,2,2,2,2,1,1,2,2,FEMALE,36,8,1,2,7,3,1,2,2,1,2,2,2,1,2
FEMALE,78,3,2,1,9,1,1,2, , , , ,FEMALE,66,4,2,1,6,2, ,2,2,2,2,1,1,FEMALE,39,6,2,1,6,1,1,2, ,2,1,2,2,2,2
FEMALE,66,3,2,1,4,3,5,2, , , , ,FEMALE,67,3,2,1,2,2, ,2,1,1,1,2,2,FEMALE,85,3,2,1,1,4,5,2, ,2,2,1,1,1,2
MALE,49,3,2,1,4,3,1,2, , , , ,FEMALE,58,5,2,1,7,2, ,1,2,1,1,2,2,FEMALE,76,7,2,1,6,2,5,2,2,1,2,1,8,8,8
FEMALE,63,5,2,2,2,2,3,2, , , , ,MALE,75,4,2,1,5,2, ,2,2,2,1,2,1,FEMALE,63,8,2,1,6,3,1,2, ,1,2,1,2,2,2
MALE,19,5,2,1,3,1,6,1,2,2,1,2,FEMALE,80,6,2,1,5, , ,1,2,1,2,2,2,FEMALE,66,8,2,2,5,2,1,2, ,1,1,2,1,2,2
FEMALE,47,3,2,1,9,1,1,2, ,1,1,1,MALE,84,6,2,1,4,2, ,2,2,8,1,2,2,FEMALE,57,6,2,1,7,2,6,2,2,2,2,2,2,2,2
FEMALE,91,6,2,1,3,2,5,9, , , , ,MALE,73,4,2,1,3,2,2,1,1,1,1,2,1,MALE,19,3,2,1,2,2,6,2,2,2,2,2,2,2,2
FEMALE,28,1,2,1,6,1,1,2, ,2,1,2,MALE,67,8,2,1,99,2, ,1,1,1,2,2,8,MALE,28,3,2,1,3,1,6,2, ,2,2,1,1,2,2
MALE,19,1,9,4,1,5,1,2, , , , ,FEMALE,50,3,2,2,4,2,2,2,2,1,1,2,2,FEMALE,49,6,2,1,8,2,1,2, ,1,1,2,1,2,2
FEMALE,80,3,2,1,2,3,5,2, , , , ,MALE,54,6,2,1,9,2, ,1,2,9,9,2,9,FEMALE,45,5,2,1,4,1,6,1,2,2,2,1,1,2,2
MALE,60,6,2,1,6,1,1,2, ,8,8,8,MALE,84,3,2,4,2, , ,2,2,2,2,8,1,FEMALE,75,2,2,1,1,3,5,2, ,2,8,1,1,2,1
MALE,44,2,2,2,1,9,6,2, , , , ,MALE,47,3,2,2,4,2, ,2,2,1,1,2,1,MALE,60,2,2,1,2,2,2,2,2,2,2,2,2,2,2
FEMALE,53,7,2,1,9,3,6,2, ,1,2,1,FEMALE,29,3,2,1,4,2,2,2,2,1,2,1,1,FEMALE,52,5,2,2,4,2,6,2, ,2,2,2,1,2,1
MALE,77,7,2,1,6,2,1,2, , , , ,FEMALE,51,7,2,1,7,2,2,1,2,2,2,2,1,MALE,58,3,2,1,3,1,1,2, ,2,2,1,2,1,1
MALE,28,6,2,1,6,2,6,1,1,2,2,2,FEMALE,72,6,2,1,8,2,2,2,2,1,2,2,2,FEMALE,67,3,2,1,4,9,1,2,2,2,2,2,2,2,2
FEMALE,23,3,2,1,1,4,6,2, ,2,1,1,FEMALE,87,3,2,1,99, , ,2,2,1,8,2,8,FEMALE,80,5,2,1,3,1,5,2, ,2,2,1,2,1,1
MALE,25,3,2,1,3,3,1,2, ,2,1,2,FEMALE,77,4,2,1,2, , ,2,2,2,2,2,1,FEMALE,73,4,2,1,5,3,1,2, ,1,1,1,1,2,2
MALE,79,7,2,1,6,3,1,2, , , , ,FEMALE,76,8,2,4,5,2, ,1,1,2,1,2,2,FEMALE,19,4,1,1,4,2,6,2,1,2,2,1,1,2,1
FEMALE,40,6,2,1,4,2,6,2, ,2,2,1,FEMALE,45,8,1,1,8,2,2,1,1,8,1,2,2,MALE,70,3,2,1,5,1,1,2, ,2,2,2,2,1,1
MALE,31,5,2,1,3,3,1,2, ,2,8,1,FEMALE,60,8,2,1,8,2, ,1,1,1,1,2,2,MALE,25,5,2,1,99,9,6,2,2,1,1,1,1,2,2
FEMALE,28,5,2,1,4,3,1,2, ,8,2,1,FEMALE,92,3,2,1,99, , ,2,2,2,2,1,1,MALE,81,8,2,1,9,5,1,2,2,2,2,8,2,8,8
